,0
0,colorado
1,georgia
2,hawaii
3,idaho
4,illinois
5,iowa
6,kansas
7,kentucky
8,louisiana
9,maryland
10,massachusetts
11,michigan
12,minnesota
13,mississippi
14,missouri
15,montana
16,nebraska
17,nevada
18,new hampshire
19,new jersey
20,new mexico
21,north carolina
22,north dakota
23,ohio
24,oklahoma
25,oregon
26,rhode island
27,south dakota
28,tennessee
29,vermont
30,virginia
31,west virginia
32,wyoming
